custkey,contribution
5794,141297.211
4637,141140.2743
10991,140605.138
5443,140534.0316
14713,140112.8291
9094,139559.12829999998
10010,139194.9318
6523,139018.1484
1841,138698.98309999998
6526,138591.8153
1414,138434.0059
13729,138155.0809
9566,137669.85379999998
2803,137656.02
6277,137246.4282
986,136597.1747
10975,135937.6787
109,135637.4888
4699,135170.307
13270,134994.9
2590,134935.101
5140,134769.6558
4934,134675.4974
11629,134277.8604
13502,134179.4013
14000,133631.4081
562,132892.2164
12310,132394.8491
6550,132162.33299999998
7960,131868.2318
6151,131151.0195
14657,130734.7372
4861,130573.0629
13456,130561.8831
6281,130494.2344
8353,130290.8808
14119,129942.1595
5056,129482.15160000001
11531,129381.6662
14017,129347.31059999998
1501,128839.9296
1381,128658.663
2057,128509.954
4331,128002.2881
1486,127935.2658
14554,127853.4296
9704,127422.0
7114,127086.042
5002,126678.7668
6623,126545.41500000001
13594,126057.2292
13154,125207.2227
13376,124836.1529
4093,124651.2603
6983,124577.92629999999
6308,124266.39140000001
329,123474.081
1945,123259.2181
1249,123239.75090000001
7085,122644.07909999997
10555,122532.6164
2035,122464.64839999999
7732,122252.30720000001
6268,121761.95229999999
13168,121494.4854
4903,120741.76079999999
9962,120672.64919999999
14269,119460.684
6739,119224.5484
13030,118445.3459
11693,117997.0535
9436,117515.0505
6082,117485.6459
1052,117283.7715
11744,117171.74269999999
6529,117097.8396
1850,116830.11919999999
7217,115515.5173
4606,115476.65239999999
10387,115460.00809999999
2818,115061.7828
9679,114895.2774
296,114763.16459999999
4825,114293.63239999999
14848,114290.5012
3698,114012.87479999999
12514,113720.167
3115,113454.1611
10990,113442.17009999999
334,112909.6275
12761,112514.4666
14588,112309.92000000001
13351,112198.9176
10756,112073.6008
1091,111747.70949999998
13429,111722.1087
4240,111385.5045
3067,111340.257
1208,111069.5567
4621,110814.9968
11314,110667.4772
2948,110149.4357
967,110028.54079999999
5431,109915.06760000001
12280,109438.2827
10468,109174.3825
3325,109013.262
5942,108750.4983
11020,108711.21539999999
6016,108588.78029999998
103,108336.3046
512,108182.35749999998
6988,106338.3283
4316,105880.80040000001
7234,105610.323
11552,105387.90400000001
11609,105059.015
9422,104994.9674
5249,104668.5306
3212,104407.2708
14948,104030.45439999999
13396,103987.2533
13516,103716.4156
6172,103636.00259999999
12700,103599.66750000001
11461,103557.2238
8305,103478.2982
4403,103476.23599999999
4723,103448.384
2825,103370.84760000001
3286,102344.654
5311,101869.9536
1069,101698.25880000001
12247,101657.4
10051,101599.8593
6718,101083.56480000001
5555,101065.0938
865,101023.40479999999
4156,100949.4619
12607,100465.3965
4472,100218.3849
5690,100110.9133
7741,99977.1936
12757,99681.7497
8896,99083.1508
121,98976.948
10681,98826.7608
1840,98792.3664
1846,98638.65960000001
2848,98409.32549999999
13,98086.2185
8563,97855.9516
11300,97650.35040000001
3488,97628.3525
2566,97292.9819
9350,97216.121
1291,97015.0608
6110,96745.58919999999
13220,96304.3089
6674,96061.5786
11425,95901.3192
2329,95794.3008
9629,95667.0396
1649,95660.241
4879,95528.92199999999
12163,95270.3374
3328,95005.6104
9853,94891.15169999999
3616,94866.6643
9140,94817.7174
13054,94516.0224
5726,93993.34349999999
13933,93765.8898
6685,93465.1485
4076,91608.3785
448,91286.4129
9169,90895.7748
5080,90607.90659999999
13420,90550.02179999999
1006,90549.0434
3151,90436.8894
14350,90108.5126
3530,90094.2432
458,89884.1073
4366,89818.806
6757,89724.61559999999
10088,89318.23199999999
14815,89160.8772
7142,88924.1355
10483,88576.7456
455,88344.12
5764,87876.45939999999
6502,87703.6872
4565,87538.9911
4450,87486.264
13778,87473.3382
298,87250.8148
6659,87005.1541
11498,86977.27720000001
7834,86562.2352
7309,86142.06899999999
5917,85987.206
6637,85876.1157
8785,85786.897
12269,85418.31
10675,85380.4861
12251,85332.82299999999
2902,85250.9376
1619,85196.00339999999
9742,85135.116
9700,85118.8051
11212,85013.8529
1033,84970.36069999999
13625,84954.9855
8698,84433.5594
4249,84395.9562
803,83541.588
14747,83467.4672
1954,83360.67
12983,82945.2174
13148,82912.0455
5239,82548.19499999999
13571,82367.705
3634,82218.9552
14548,82119.915
3446,82086.324
10498,81551.48539999999
9586,81517.10399999999
7826,81370.9948
3461,81321.71840000001
14680,81252.5692
10268,81001.908
1138,80905.7832
9370,80710.66819999999
11791,80524.76909999999
1253,79850.4063
12109,78974.7966
4418,77636.60639999999
13261,77523.6988
13804,77514.742
4220,77199.947
8719,77030.595
14942,76856.8326
13714,76797.34539999999
8545,76735.9845
11923,76306.8124
14353,75987.0856
6220,75262.2253
3085,75058.4646
6742,74980.02299999999
670,74512.8459
10114,74400.7533
13477,74165.61600000001
9248,73708.54400000001
3496,72852.10879999999
12248,72792.6813
14956,72721.7102
1996,72667.0284
10375,72584.5296
2890,72517.33439999999
4816,72405.8951
13123,72351.75
5680,72328.8824
8218,71515.525
1873,70780.7646
1375,70701.6989
2261,70652.8251
3776,70643.94889999999
1027,70524.73139999999
12613,70045.06769999999
3337,70034.1
11608,69818.0707
1457,69483.7584
10172,69414.2981
14818,69276.6893
2990,69210.68
9256,68451.2384
6829,68371.5168
14822,68182.9813
1897,67905.1267
5533,67332.2202
4690,67295.664
1816,66521.5422
1688,66065.1084
12932,65815.5648
14506,65628.1727
13471,65625.4316
4153,65396.4072
8582,65333.31539999999
1154,65225.361699999994
11312,65176.47
8584,64914.780000000006
4957,64675.749599999996
10642,64031.92479999999
1163,63750.08
3002,62958.19139999999
1073,62880.1837
10337,62876.0604
5905,62859.443999999996
5851,62451.86219999999
4880,62249.544599999994
1184,61975.908
11644,61687.681000000004
13885,61609.072
2336,61574.956000000006
1726,61173.683999999994
932,60951.744000000006
872,60793.710699999996
4300,60715.655
13964,60145.391599999995
47,59635.1278
3824,59573.543399999995
11389,59525.6936
5051,59343.7628
12947,59327.93370000001
1075,59030.9223
7378,58021.151999999995
5027,57907.6308
2017,57702.087999999996
277,57584.637
12322,57462.3352
10789,57218.989100000006
938,57199.2876
9419,57117.4758
13556,56984.7534
9983,56597.0815
13529,56488.23
6605,56432.17600000001
2050,56389.8796
14497,56388.905199999994
13517,56360.6722
11189,56315.8596
14812,55775.1552
6130,55609.9984
10438,55506.919499999996
12857,55471.151999999995
1202,55314.58660000001
10957,55246.337999999996
14380,55071.009900000005
7693,55006.497
5585,54810.74399999999
10012,54592.575
10582,54558.34799999999
547,54381.065599999994
14615,54179.24160000001
6293,54138.1878
4625,54012.4312
523,53814.88739999999
5906,53771.9668
428,53564.428799999994
3548,53518.268
4430,53423.3664
4258,53351.081
13022,52977.555400000005
14870,52867.873999999996
6982,52811.299199999994
5800,52311.0588
8333,52223.328
1048,52203.600000000006
790,52077.1
361,51332.837999999996
13340,51195.059
1913,51015.727
9154,50877.1764
10351,50773.396
2776,50754.5437
14782,50150.88
11515,50044.4965
3619,49755.1152
4628,49451.8428
13694,49351.302
8449,49268.6404
5416,49262.725
11161,49215.3024
3409,49203.509999999995
5887,49192.2
484,49158.24
7064,49040.082
12004,48968.02769999999
2798,48948.638199999994
7897,48447.527
1796,48144.333
14590,48078.3
4189,47433.3432
12095,47097.54
7228,46976.985
13774,46921.4016
2281,46866.7118
3829,46654.9776
4706,46615.1663
6727,46266.377499999995
13144,46263.825
4529,46010.437999999995
3334,45628.69500000001
1643,45333.524600000004
5417,45093.6
14849,44866.185000000005
5396,44659.701
11903,44550.519799999995
5510,43941.2328
2129,43873.183999999994
10099,43742.25
2606,43704.1745
6545,43697.3682
2854,43658.4464
4040,43429.528999999995
11155,42667.9445
13468,42538.545000000006
14135,42334.1224
5638,42305.126000000004
3713,42218.55
8938,42184.166399999995
5146,41806.156
7204,41429.7576
13762,41352.1332
12760,40396.96799999999
10567,39745.655999999995
8222,38868.1248
7630,38589.6432
14389,38534.4258
7229,38363.985
9779,38207.376
9592,38129.5488
5003,38111.3875
5816,37802.688
2725,37576.6128
11089,36878.301999999996
7361,36693.648
5525,36063.13999999999
1904,35886.509999999995
2176,35797.113
11242,35791.905600000006
5929,35767.2666
9905,35761.886099999996
8113,35738.42
10765,35728.5726
1358,35699.5188
6020,35173.5624
2192,35164.344
73,35002.691
5035,34828.407
13976,34600.9976
3095,34260.432
11032,34238.1312
653,34157.475
11459,33851.952
1783,33378.350999999995
4198,33317.412000000004
12446,33289.5376
11471,32956.469000000005
1,32891.7204
12305,32713.065599999998
5971,32288.512199999997
530,32148.171
12475,32001.523199999996
2014,31713.984000000004
4718,31483.1241
6877,31273.0
9358,31087.015
5957,31076.879399999998
13235,30788.973599999998
1405,29864.835
983,29833.9392
4103,29574.2718
4100,29557.92
9583,29462.35
14635,29360.1856
7873,29291.02
11770,28909.818
13076,28695.7125
4261,28677.444799999997
10205,28094.4
968,27653.0157
859,27420.0
4477,27381.4326
922,27040.1152
10981,26951.948099999998
6191,26759.1357
8977,26506.0
5617,26179.3
12427,25767.049499999997
9610,25623.267
11887,25594.88
7301,25327.5
5197,25198.112
11761,24923.664
2714,24917.5776
1931,24746.992
11039,24727.5392
9332,24646.4694
14162,24298.4494
3172,24293.962199999998
12869,24291.0708
6287,24205.5
4973,24190.958400000003
2720,24027.2084
623,23935.912
8146,23518.04
3952,23252.675
9259,23137.253999999997
4046,22730.8172
12223,22292.9616
2578,21816.0864
3790,21751.3576
9821,21569.584000000003
1567,21173.2906
10562,21078.4096
4795,21040.866
4526,20265.4976
8351,20238.876
13510,20211.4685
1364,20190.9702
5473,20013.0504
3004,19593.961199999998
12878,19162.1256
592,18927.1929
11294,18602.14
2696,18243.3537
4456,17662.318
8638,16030.224
7270,15738.5295
1292,15673.8744
13039,15574.768
3154,15501.4074
12754,15445.651199999998
14564,15295.993600000002
1114,15015.184799999999
353,14636.313100000001
3421,14457.261499999999
5990,14227.009999999998
12341,14180.7468
1732,13913.0976
13354,13325.477099999998
14911,12954.0754
8783,12869.8752
4367,12622.32
1829,12562.531799999999
1192,12433.217499999999
12256,12387.547900000001
9251,12309.758999999998
3916,11657.4561
1009,11492.16
2464,10776.402
6512,10680.3432
3667,10373.6844
7553,9479.106
7508,9407.7416
11321,9335.056
14809,9154.55
4841,9062.676
5152,8572.6291
12104,8572.127999999999
4081,8357.538
4819,7785.916599999999
10243,7688.111999999999
5476,7303.5689999999995
11576,7057.472999999999
281,6112.7072
439,5898.5289999999995
14297,5803.8344
13544,5660.790300000001
2783,5573.951999999999
13151,5394.924
14446,5321.481
6899,5092.0053
10733,5039.4162
10915,4803.87
11545,4777.2
14828,4140.580800000001
9451,3487.1018
9289,3350.0735999999997
3013,3334.8312
5791,3254.8971
2615,3177.3948
7162,2816.3408
13087,2758.9709999999995
11405,2008.566
5026,1013.7761
13474,939.0181999999999
2182,934.9591999999999
